chapter	section	section_time_onset	section_time_offset	whole_time_onset	whole_time_offset	sentence_id	token_id	token	surprisal	maybe_mismatch
1	1	118.07	118.44	118.07	118.44	25	12	many	6.92487	FALSE
1	1	118.44	118.895	118.44	118.895	25	13	persons	8.496995	FALSE
1	1	118.895	118.983	118.895	118.983	25	14	of	4.05775	FALSE
1	1	118.983	119.733	118.983	119.733	25	15	consequence	10.050918	FALSE
1	1	120.152	120.474	120.152	120.474	26	1	I	0	FALSE
1	1	120.474	120.64	120.474	120.64	26	2	have	6.037737	FALSE
1	1	120.64	121.04	120.64	121.04	26	3	lived	9.342018	FALSE
1	1	121.04	121.1	121.04	121.1	26	4	a	5.282613	FALSE
1	1	121.1	121.627	121.1	121.627	26	5	lot	6.254294	FALSE
1	1	121.627	122.057	121.627	122.057	26	6	amongst	14.846774	FALSE
1	1	122.057	122.117	122.057	122.117	26	7	the	2.066586	FALSE
1	1	122.117	122.806	122.117	122.806	26	8	grown	13.628041	FALSE
1	1	123.19	123.264	123.19	123.264	27	1	I	0	FALSE
1	1	123.264	123.355	123.264	123.355	27	2	have	6.037737	FALSE
1	1	123.355	123.665	123.355	123.665	27	3	seen	5.459743	FALSE
1	1	123.665	123.895	123.665	123.895	27	4	them	5.800002	FALSE
1	1	123.895	124.085	123.895	124.085	27	5	from	7.259957	FALSE
1	1	124.085	124.462	124.085	124.462	27	6	close	10.620162	FALSE
1	1	124.462	124.67	124.462	124.67	27	7	up	3.333536	FALSE
1	1	125.363	125.488	125.363	125.488	28	1	It	0	FALSE
1	1	125.488	125.673	125.488	125.673	28	2	has	6.115362	FALSE
1	1	125.673	125.858	125.673	125.858	28	3	not	5.137732	FALSE
1	1	125.858	126.15	125.858	126.15	28	4	much	12.677785	FALSE
1	1	126.15	126.599	126.15	126.599	28	5	improved	12.250537	FALSE
1	1	126.599	126.758	126.599	126.758	28	6	my	7.576227	FALSE
1	1	126.758	127.175	126.758	127.175	28	7	opinion	8.240759	FALSE
1	1	127.175	127.319	127.175	127.319	28	8	of	1.073618	FALSE
1	1	127.319	127.528	127.319	127.528	28	9	them	6.095705	FALSE
1	1	128.361	129.116	128.361	129.116	29	1	Whenever	0	FALSE
1	1	129.116	129.277	129.116	129.277	29	2	I	6.12331	FALSE
1	1	129.277	129.656	129.277	129.656	29	3	met	7.500901	FALSE
1	1	129.656	129.852	129.656	129.852	29	4	one	8.438007	FALSE
1	1	129.852	129.946	129.852	129.946	29	5	of	0.377585	FALSE
1	1	129.946	130.146	129.946	130.146	29	6	them	3.784815	FALSE
1	1	130.146	130.326	130.146	130.326	29	7	that	8.116018	FALSE
1	1	130.326	130.736	130.326	130.736	29	8	seemed	7.293348	FALSE
1	1	130.736	130.796	130.736	130.796	29	9	a	5.0871	FALSE
1	1	130.796	131.126	130.796	131.126	29	10	bit	1.479908	FALSE
1	1	131.126	131.456	131.126	131.456	29	11	more	3.417448	FALSE
1	1	131.456	131.777	131.456	131.777	29	12	clear	10.870106	FALSE
1	1	131.777	132.374	131.777	132.374	29	13	sight	15.337422	FALSE
1	1	132.749	132.898	132.749	132.898	29	15	I	5.453617	FALSE
1	1	132.898	133.184	132.898	133.184	29	16	tried	7.558727	FALSE
1	1	133.184	133.293	133.184	133.293	29	17	the	7.397915	FALSE
1	1	133.293	133.953	133.293	133.953	29	18	experiment	9.527795	FALSE
1	1	133.953	134.013	133.953	134.013	29	19	of	4.89761	FALSE
1	1	134.013	134.404	134.013	134.404	29	20	showing	8.076093	FALSE
1	1	134.404	134.573	134.404	134.573	29	21	them	2.44682	FALSE
1	1	134.573	134.777	134.573	134.777	29	22	my	4.605825	FALSE
1	1	134.777	135.154	134.777	135.154	29	23	Drawing	16.708775	FALSE
1	1	135.154	135.472	135.154	135.472	29	24	number	15.08669	FALSE
1	1	135.472	135.823	135.472	135.823	29	25	one	8.080219	FALSE
1	1	135.823	135.949	135.823	135.949	29	26	that	8.326836	FALSE
1	1	135.949	136.054	135.949	136.054	29	27	I	1.65001	FALSE
1	1	136.054	136.149	136.054	136.149	29	28	have	6.061797	FALSE
1	1	136.149	136.524	136.149	136.524	29	29	always	6.545939	FALSE
1	1	136.524	136.958	136.524	136.958	29	30	kept	4.471484	FALSE
1	1	137.526	137.663	137.526	137.663	30	1	I	0	FALSE
1	1	137.663	137.991	137.663	137.991	30	2	wanted	10.544338	FALSE
1	1	137.991	138.117	137.991	138.117	30	3	to	0.42755	FALSE
1	1	138.117	138.321	138.117	138.321	30	4	know	5.242304	FALSE
1	1	138.321	138.441	138.321	138.441	30	5	if	2.218949	FALSE
1	1	138.441	138.54	138.441	138.54	30	6	they	4.258211	FALSE
1	1	138.54	138.689	138.54	138.689	30	7	were	2.228543	FALSE
1	1	138.689	139.136	138.689	139.136	30	8	really	5.553205	FALSE
