word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,sentence_id,surprisal
作品,作品,85.71,86.03,8.013916006367577,NOUN,1,2,3,3,34,6.7831859451229874
的,的,86.03,86.1,13.549001743000456,PART,1,1,2,2,34,2.504412104714616
不,不,86.1,86.25,10.967124178394917,ADV,1,2,1,2,34,2.129374284405356
成功,成功,86.25,86.62,7.796279257934758,ADV,1,1,3,2,34,7.898916886024189
使,使,86.91,87.14,9.423635910402565,VERB,1,2,1,2,35,3.427516484510567
我,我,87.14,87.26,10.534098233242508,PRON,1,2,2,2,35,1.6116164604772645
泄,泄,87.26,87.43,1.094604267270571,VERB,1,3,1,2,35,4.68023392009815
了,了,87.43,87.53,11.717088826693631,PART,1,1,1,1,35,1.8997973732022653
气,气,87.53,87.82,6.316825278974476,NOUN,1,2,6,3,35,3.571935384365915
这些,这些,88.64,88.9,9.35458442856651,DET,1,4,2,3,36,5.769175815855807
大人们,大人们,88.9,89.43,2.56117300524145,NOUN,1,2,3,3,36,7.429608740520855
靠,靠,89.92,90.09,6.617199748768671,VERB,1,4,1,2,37,3.858225437775811
他们,他们,90.09,90.5,9.915474866735266,PRON,1,2,1,2,37,5.855960869940665
自己,自己,90.59,90.83,9.71865558730208,PRON,1,1,3,2,37,7.097447817052806
什么,什么,90.83,91.07,9.138085113257745,PRON,1,3,2,3,37,6.561744326863005
也,也,91.07,91.24,10.523259496272392,ADV,1,3,2,3,37,2.601647558419332
弄,弄,91.24,91.35,5.466734368171639,VERB,1,2,1,2,37,3.299887844234977
不,不,91.35,91.45,10.967124178394917,ADV,1,3,2,3,37,1.6119478897909492
懂,懂,91.45,91.61,6.039235144076326,VERB,1,1,6,2,37,3.578577467196941
还,还,92.09,92.23,9.872623675554896,ADV,1,4,2,3,38,1.9898937604051148
得,得,92.23,92.34,8.835887911676375,VERB,1,2,1,2,38,1.1784121664040332
老,老,92.34,92.52,6.985925773619615,ADV,1,3,2,3,38,2.629744248934089
是,是,92.52,92.66,11.813576063887458,VERB,1,2,1,2,38,2.4912915531758384
不,不,92.66,92.78,10.967124178394917,ADV,1,5,2,3,38,1.837769397493438
断,断,92.78,92.95,6.29567182314192,VERB,1,2,3,3,38,3.003434414761737
地,地,92.95,93.01,10.18742007921881,PART,1,1,2,2,38,3.60236443974903
给,给,93.01,93.14,8.87379517269326,ADP,1,3,1,2,38,2.8199399818922912
他们,他们,93.14,93.42,9.915474866735266,PRON,1,2,3,3,38,6.046593008091861
做,做,93.42,93.56,8.971218850033047,VERB,1,2,1,2,38,2.841157881531699
解释,解释,93.56,93.93,7.675251295542921,NOUN,1,2,12,3,38,7.081829321455057
后来,后来,95.05,95.45,7.374816458465409,ADV,1,3,2,3,39,6.599124821902267
我,我,96.01,96.11,10.534098233242508,PRON,1,2,2,2,40,1.6865386857575142
只好,只好,96.11,96.37,5.913708389950873,ADV,1,3,2,3,40,4.861664393668615
选择,选择,96.37,96.69,8.16254333845307,VERB,1,2,1,2,40,8.122785640029337
了,了,96.69,96.81,11.717088826693631,PART,1,1,1,1,40,1.6234872767629258
另外,另外,96.81,97.08,7.426656804689211,DET,1,4,2,3,40,5.616763133633201
一,一,97.08,97.16,11.4288871621941,NUM,1,2,1,2,40,2.0335417112114893
个,个,97.16,97.28,10.347959152135804,NUM,1,2,4,3,40,3.2489400032793543
职业,职业,97.28,97.63,7.489396991164534,NOUN,1,2,6,3,40,9.23334099227585
我,我,98.24,98.38,10.534098233242508,PRON,1,3,2,3,41,1.6865386857575142
学会,学会,98.38,98.73,6.63728424326071,VERB,1,3,1,2,41,6.718873514230818
了,了,98.73,98.88,11.717088826693631,PART,1,1,2,2,41,2.0357782798843616
开,开,98.88,99.09,8.10480920296228,VERB,1,2,1,2,41,3.159444717698361
飞机,飞机,99.09,99.46,6.31400808537042,NOUN,1,2,5,3,41,6.926163629547286
世界,世界,100.07,100.34,9.275735807108063,NOUN,1,4,2,3,42,7.546450418249524
